id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2020-08-20T23:56:04;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-08-20T11:48:46;75071
2;Rhode Island bypassing SQL;2020-08-20T14:44:08;Frozen online streamline;ISSUED;CREDIT_CARD;2020-08-21T06:31:14;68011
3;lime program;2020-08-20T09:59:11;parse Horizontal Shirt;ISSUED;PAYPAL;2020-08-20T10:49:44;82892
4;Buckinghamshire Director Gloves;2020-08-20T14:29:54;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-08-20T07:04:55;33894
5;attitude-oriented;2020-08-20T16:58:02;Integration structure;CANCELLED;PAYPAL;2020-08-20T19:05:32;72584
6;Internal Licensed Steel Towels RSS;2020-08-20T23:34:12;Chips;PAID;CREDIT_CARD;2020-08-21T00:29:52;90614
7;Toys Cotton;2020-08-20T16:03:33;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-08-20T13:46:57;42722
8;Arizona Barbados Dollar;2020-08-21T00:33:15;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-08-20T21:36:43;44406
9;Generic Ethiopian Birr Assurance;2020-08-20T13:02:06;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-08-20T20:57:36;93110
10;Concrete;2020-08-21T05:45:52;paradigms system;PAID;CREDIT_CARD;2020-08-20T08:12:04;93817
