id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-08-20T08:07:48;payment unleash Jamaican Dollar;1
2;Rest;2020-08-21T03:24:18;Plains;2
3;Quality Plastic plum;2020-08-20T07:44:40;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-08-21T04:11:52;Architect SSL;4
5;zero tolerance;2020-08-21T01:08:11;user-facing CSS;5
6;ADP Ouguiya;2020-08-20T21:04:39;Garden;6
7;auxiliary;2020-08-21T05:20:39;functionalities Bedfordshire withdrawal;7
8;Data;2020-08-20T08:18:40;Viaduct hybrid;8
9;mesh;2020-08-21T06:44:19;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-08-21T04:43:13;Re-engineered withdrawal Ball;10
