id;placed_date;status;code;invoice_id;customer
1;2020-08-20T07:33:30;COMPLETED;Georgia calculate withdrawal;88795;one-to-one e-business
2;2020-08-20T12:24:22;CANCELLED;cross-platform Supervisor;47588;Concrete
3;2020-08-20T09:27:07;CANCELLED;Investment Account;79493;revolutionize harness Kyat
4;2020-08-20T06:38:23;COMPLETED;Decentralized Bike;98183;IB Industrial Credit Card Account
5;2020-08-20T14:02:26;CANCELLED;Cotton Egyptian Pound;70149;contingency target
6;2020-08-20T08:28:19;COMPLETED;input Handmade Metal Table;17515;Human
7;2020-08-19T18:01:24;CANCELLED;payment;42230;value-added Cambridgeshire mission-critical
8;2020-08-19T17:06:15;PENDING;connecting hacking Future-proofed;5405;hack green Streamlined
9;2020-08-20T06:39:49;PENDING;back up front-end eco-centric;31482;artificial intelligence card incubate
10;2020-08-20T02:07:30;PENDING;Assistant Papua New Guinea West Virginia;6025;Gloves quantify Rupiah
